threshold,accuracy,precision,recall,f1,tp,tn,fp,fn
0.05,0.5298303229337712,0.28730703259005147,0.9228650137741047,0.4381948986265533,335,633,831,28
0.1,0.6699507389162561,0.36363636363636365,0.8815426997245179,0.5148833467417537,320,904,560,43
0.15,0.7416529830322933,0.42482758620689653,0.8484848484848485,0.5661764705882353,308,1047,417,55
0.2,0.7848932676518884,0.47572815533980584,0.8099173553719008,0.599388379204893,294,1140,324,69
0.25,0.8166392993979201,0.5260223048327137,0.7796143250688705,0.6281908990011098,283,1209,255,80
0.3,0.8286808976464148,0.5538793103448276,0.7079889807162535,0.6215235792019347,257,1257,207,106
0.35,0.8434592227695676,0.5927710843373494,0.6776859504132231,0.6323907455012853,246,1295,169,117
0.4,0.8516694033935414,0.6256830601092896,0.6308539944903582,0.6282578875171468,229,1327,137,134
0.45,0.8565955117679256,0.6498516320474778,0.6033057851239669,0.6257142857142857,219,1346,118,144
0.5,0.8571428571428571,0.6645161290322581,0.5674931129476584,0.6121842496285289,206,1360,104,157
0.55,0.8582375478927203,0.6843971631205674,0.5316804407713499,0.5984496124031009,193,1375,89,170
0.6,0.8620689655172413,0.7176470588235294,0.5041322314049587,0.5922330097087378,183,1392,72,180
0.65,0.8620689655172413,0.74235807860262,0.46831955922865015,0.5743243243243243,170,1405,59,193
0.7,0.8582375478927203,0.7708333333333334,0.40771349862258954,0.5333333333333333,148,1420,44,215
0.75,0.8544061302681992,0.825503355704698,0.33884297520661155,0.48046875,123,1438,26,240
0.8,0.8451012588943624,0.8333333333333334,0.27548209366391185,0.4140786749482402,100,1444,20,263
0.85,0.8368910782703887,0.8421052631578947,0.22038567493112948,0.3493449781659389,80,1449,15,283
0.9,0.8237547892720306,0.8153846153846154,0.14600550964187328,0.24766355140186916,53,1452,12,310
0.95,0.8139025725232621,0.8108108108108109,0.08264462809917356,0.15,30,1457,7,333
